,rec_id,nom_id,award_id,ah_id,link_id,award_private,product_id,title,message,award_date
420,5460545,9568354,205940361,202900084,11408782.0,0,620,It's in the details,"After hearing a lot of real-time reactions and feedback at Unleash I wanted to give this team a shout out for the thoughtfulness that went into the conceptual ideation behind the booth theme and the ties made to Forum. Every detail was intentional, and I heard from multiple attendees that they really resonated with our Elevate theme and messaging, loved the booth's connection to France, and wanted to learn more about Workhuman. I know there was a lot of research, brainstorming, and coordination that went into bringing the theme to life, it was noticed by many and so appreciated!",2025-10-30
617,7089735,28115931,205812827,202780642,11398420.0,0,620,The Briefing Book Braintrust,"Thank you all for the incredible teamwork that went into developing Eric, Tom, and KeyAnna’s briefing books for Paris. The level of precision, care, and expertise you each brought—from messaging and talking points to customer and prospect intel to logistics and scheduling—was next-level. I also really appreciated your support on the briefing calls, ensuring each leader was prepared and confident heading into a jam-packed week of engagements. The partnership, collaboration, and strategic thinking from this team made this new process both effective and efficient. Thank you!",2025-10-29
673,5460545,21740703,205746512,202727431,11392148.0,0,620,Soaring high in Paris!,"I'm getting a bit tired of congratulating you all for (yet again) setting a new bar, but when you all helped pull off what was our largest and most impactful 3rd party event activation EVER, it has to be done!  This team absolutely crushed it last week, delivering two amazing back-to-back events with our first ever Workhuman Forum in Paris and then straight into UnleashWorld, where we dominated attendee mindshare. From the months of planning and design, to pre-event registration drives, meeting scheduling, and hospitality planning, to the flawless on-the-ground execution, it was an extraordinary end result.  The quality of engagement you all drove across an action-packed 3 days and nights doesn't just happen by chance. Every detail was sweated over. Every activity was well prepped and rehearsed. And the plan was orchestrated and delivered to perfection.  I couldn't be more proud of the effort put forth by you all and seeing the results of that effort take form. A sincere THANKS to all who contributed, with special thanks to our extraordinary Events team, who just set that new bar in how to show up big and deliver an extraordinary experience.",2025-10-29
1083,7089735,1826135,205497691,202468521,,0,620,Q4 RFP Team Quarterly Meeting,Thank you Cam for taking time out of your busy schedule to meet with the RFP team on our 2026 GTM business plan and how the team will contribute to its success. We had some great discussion in how AI will be inserted into the RFP process along with other priorities from your team contributing to our department mission of equipping teams with the insights and tools to perform at their best. 2025 isn't over yet and we still have a strong showing. 2026 is staged to be our best year ever!! Appreciate your continued support!! Michael & Team,2025-10-24
2044,67028,20294815,204425315,201874490,,0,620,Overdue Thank you,"Hi Conor, I just wanted to take a moment to say Thank you so much for your support lately with my Bank issues. I know how busy you must be, but you still took the time to sort out the BOI app and my user account for me, enabling me to make payments without delay. This is very much appreciated.",2025-10-16
2045,67028,27378578,204354649,201874469,11268082.0,0,620,Strategy Planning Superstars,"Thank you all for the incredible effort and collaboration you brought to the accelerated enterprise capability maturity and planning work this year. The Finance team’s attention to detail, thoughtful engagement, and willingness to lean into this new approach made a huge difference. You took the time to deeply understand the framework, challenge where needed, and deliver high-quality inputs that made consolidation seamless and the final Finance view truly strong. I really appreciate your partnership and commitment throughout. Thank you!",2025-10-16
2714,7089735,28599319,204360636,201473889,11268408.0,0,620,On Fire Fireside Chat,"A big thank-you to you both for creating an engaging and inspirational Talking Points Fireside Chat. Your conversation beautifully reinforced the intention behind the messaging, while also providing relevant advice for how tot get that message across in a convincing way.   You brought the story to life by emphasizing the key points and sharing the context behind the “why,” helping the team connect more deeply with our differentiation and purpose. I truly appreciate the thought, time, and energy you put into making this session both impactful and motivating.",2025-10-09
2715,7089735,25475962,204421210,201473887,11273894.0,0,620,Thank you for your partnership,"Thank you for the time and care you’ve dedicated to supporting and advancing our skills-based job architecture through your participation in our workshops, thoughtful feedback and follow up work. Your insight, collaboration, and attention to detail are greatly appreciated. I look forward to our continued collaboration on this project",2025-10-09
2905,5460545,30585199,204195524,201306443,,0,620,Lighting the way!,"Jill, it was a pleasure collaborating with you on our first installation of Davos creative and my first major initiative here at Workhuman. I can't thank you enough for your leadership, guidance, and, frankly, support as we hustled to put our stamp on one of the world’s largest stages. In what will be the first of many, I'm stoked to take on our next challenge and stack another win! Onwards!",2025-10-08
3015,67028,22382277,204176157,201171739,11256105.0,0,620,Thank You for Your Incredible Help This Quarter!,"I just wanted to take a moment to recognize all the amazing support you’ve given me especially during this QE. You’ve all been incredible, jumping in to help with everything from reclasses and Opex, COGS,  questions to credit card queries, employee expenses, urgent payments, last minute approvals, you name it! You’ve taken the time to walk me through processes, double-check details, and make sure things ran smoothly, even when you had plenty on your own plates. Thanks so much for all your effort, teamwork, and kindness. It’s a real pleasure working with you all! Enjoy!",2025-10-07
3016,67028,9432415,203928528,201171715,,0,620,Lead & Lift,"Conor, I want to take a moment to recognise the incredible support and guidance you’ve given me over the past few months. With so many moving parts in AP, projects, expansions, BAU, efficiencies, you’ve been there at every step, offering advice, support, and genuinely looking out for our best interests. I truly appreciate your leadership. Thank you.",2025-10-07
